station_id,complex_id,gtfs_stop_id,division,line,station_name,borough_name,daytime_routes,structure,north_direction_label,south_direction_label,station_lat,station_lon,station_geom
1,1,R01,BMT,Astoria,Astoria - Ditmars Blvd,Queens,N W,Elevated,,Manhattan,40.775036,-73.912034,POINT(-73.912034 40.775036)
2,2,R03,BMT,Astoria,Astoria Blvd,Queens,N W,Elevated,Ditmars Blvd,Manhattan,40.770258,-73.917843,POINT(-73.917843 40.770258)
3,3,R04,BMT,Astoria,30 Av,Queens,N W,Elevated,Astoria - Ditmars Blvd,Manhattan,40.766779,-73.921479,POINT(-73.921479 40.766779)
4,4,R05,BMT,Astoria,Broadway,Queens,N W,Elevated,Astoria - Ditmars Blvd,Manhattan,40.76182,-73.925508,POINT(-73.925508 40.76182)
5,5,R06,BMT,Astoria,36 Av,Queens,N W,Elevated,Astoria - Ditmars Blvd,Manhattan,40.756804,-73.929575,POINT(-73.929575 40.756804)
6,6,R08,BMT,Astoria,39 Av,Queens,N W,Elevated,Astoria - Ditmars Blvd,Manhattan,40.752882,-73.932755,POINT(-73.932755 40.752882)
7,613,R11,BMT,Astoria,Lexington Av/59 St,Manhattan,N W R,Subway,Queens,Downtown & Brooklyn,40.76266,-73.967258,POINT(-73.967258 40.76266)
8,8,R13,BMT,Astoria,5 Av/59 St,Manhattan,N W R,Subway,Queens,Downtown & Brooklyn,40.764811,-73.973347,POINT(-73.973347 40.764811)
9,9,R14,BMT,Broadway - Brighton,57 St - 7 Av,Manhattan,N Q R W,Subway,Uptown & Queens,Downtown & Brooklyn,40.764664,-73.980658,POINT(-73.980658 40.764664)
10,10,R15,BMT,Broadway - Brighton,49 St,Manhattan,N R W,Subway,Uptown & Queens,Downtown & Brooklyn,40.759901,-73.984139,POINT(-73.984139 40.759901)
11,611,R16,BMT,Broadway - Brighton,Times Sq - 42 St,Manhattan,N Q R W,Subway,Uptown & Queens,Downtown & Brooklyn,40.754672,-73.986754,POINT(-73.986754 40.754672)
12,607,R17,BMT,Broadway - Brighton,34 St - Herald Sq,Manhattan,N Q R W,Subway,Uptown & Queens,Downtown & Brooklyn,40.749567,-73.98795,POINT(-73.98795 40.749567)
13,13,R18,BMT,Broadway - Brighton,28 St,Manhattan,R W,Subway,Uptown & Queens,Downtown & Brooklyn,40.745494,-73.988691,POINT(-73.988691 40.745494)
14,14,R19,BMT,Broadway - Brighton,23 St,Manhattan,R W,Subway,Uptown & Queens,Downtown & Brooklyn,40.741303,-73.989344,POINT(-73.989344 40.741303)
15,602,R20,BMT,Broadway - Brighton,14 St - Union Sq,Manhattan,N Q R W,Subway,Uptown & Queens,Downtown & Brooklyn,40.735736,-73.990568,POINT(-73.990568 40.735736)
16,16,R21,BMT,Broadway - Brighton,8 St - NYU,Manhattan,R W,Subway,Uptown & Queens,Downtown & Brooklyn,40.730328,-73.992629,POINT(-73.992629 40.730328)
17,17,R22,BMT,Broadway - Brighton,Prince St,Manhattan,R W,Subway,Uptown & Queens,Downtown & Brooklyn,40.724329,-73.997702,POINT(-73.997702 40.724329)
18,623,R23,BMT,Broadway,Canal St,Manhattan,R W,Subway,Uptown & Queens,Downtown & Brooklyn,40.719527,-74.001775,POINT(-74.001775 40.719527)
19,623,Q01,BMT,Manhattan Bridge,Canal St,Manhattan,N Q,Subway,Uptown & Queens,Downtown & Brooklyn,40.718383,-74.00046,POINT(-74.00046 40.718383)
20,20,R24,BMT,Broadway,City Hall,Manhattan,R W,Subway,Uptown & Queens,Downtown & Brooklyn,40.713282,-74.006978,POINT(-74.006978 40.713282)
21,624,R25,BMT,Broadway,Cortlandt St,Manhattan,R W,Subway,Uptown & Queens,Downtown & Brooklyn,40.710668,-74.011029,POINT(-74.011029 40.710668)
22,22,R26,BMT,Broadway,Rector St,Manhattan,R W,Subway,Uptown & Queens,Downtown & Brooklyn,40.70722,-74.013342,POINT(-74.013342 40.70722)
23,635,R27,BMT,Broadway,Whitehall St,Manhattan,R W,Subway,Uptown & Queens,Brooklyn,40.703087,-74.012994,POINT(-74.012994 40.703087)
24,620,R28,BMT,Broadway,Court St,Brooklyn,R,Subway,Manhattan,Bay Ridge - 95 St,40.6941,-73.991777,POINT(-73.991777 40.6941)
